id;parent_id;name;tag
676;660;Группа абонентского обслуживания в г. Домодедово;NULL
677;0;ООО «СЦТС»;NULL
678;735;Подрядчики;no_ad,hidden
680;32;Группа проектирования;setevik
681;32;Группа изысканий;setevik,hidden
682;32;Группа управления проектами;hidden
683;466;Участок по подключениям и эксплуатации в г. Можайск;noqst
685;527;Отдел продаж корпоративным клиентам;NULL
686;0;testScript;hidden
689;661;Отдел информационно-справочного обслуж-я клиентов в г. Дедовск;callTT_2
691;43;Группа телефонии в г. Дедовск;NULL
692;43;Группа телефонии в г. Подольск;NULL
693;43;Группа телефонии в г. Троицк;NULL
694;45;Группа сетей доступа в г. Дедовск;NULL
695;45;Группа сетей доступа в г. Подольск;NULL
696;45;Группа сетей доступа в г. Троицк;NULL
697;111;Группа подключения юридических лиц в г. Троицк;NULL
702;629;Расчетный отдел в г. Подольск;NULL
703;629;Расчетный отдел;NULL
704;449;Группа учета ЛКС в г. Дедовск;NULL
712;42;Отдел разработок информационных систем;dit
714;466;Участок по подключениям и эксплуатации в г. Тучково;noqst
715;466;Участок по подключениям и эксплуатации в г. Руза;noqst
716;663;Группа новых подключений в г. Дедовск;NULL
717;668;Группа новых подключений в г. Подольск;NULL
718;475;!Отдел управления проектами;hidden
719;448;Отдел эксплуатации инфраструктуры корпоративных клиентов;NULL
720;475;_Отдел управления проектами;hidden
721;24;Аутсорс;dit,hidden
722;5;Служба безопасности;NULL
723;0;DSFK;NULL
724;25;Отдел корпоративной культуры;NULL
725;726;Отдел технического контроля;NULL
726;0;Служба внутреннего контроля;NULL
727;582;Отдел логистики;NULL
728;0;Служба безопасности;NULL
729;475;Отдел управления инфраструктурой;NULL
730;729;Группа поддержки пользователей;ithelp
731;729;Группа администрирования;ithelp
732;726;Отдел документационного обеспечения;NULL
733;0;!Дирекция по развитию массового рынка;hidden
734;18;Группа целевых кампаний;NULL
735;476;Отдел строительства и подключения юридических лиц;NULL
736;476;Отдел управления проектами;NULL
737;736;Группа обследования;NULL
738;736;Группа управления проектами;NULL
739;476;Группа проектирования;NULL
740;735;Группа инженерной поддержки;NULL
741;735;Группа подключения юридических лиц;NULL
742;735;Группа строительства;NULL
744;18;Департамент клиентского сервиса;NULL
745;28;Группа администрирования видеосервисов;NULL
746;478;Группа телефонии в г. Троицк;NULL
748;475;Центр мониторинга и технической поддержки;stp,telephony,tel_stp,no_pozvonit,hidehire,callTT_1
749;23;Группа согласования;NULL
750;23;Группа сопровождения;NULL
754;466;Бухгалтерия;NULL
757;735;Группа Телеконика;NULL
758;607;Внештатные агенты;NULL
759;607;Группа развития сети;NULL
760;607;Группа активных продаж;NULL
766;466;Абонентский отдел;noqst
767;601;Отдел претензионно-исковой работы;NULL
